"","x"
"1",15710.849531767
"2",15682.8764294459
"3",15767.4519560744
"4",15345.2988686546
"5",14945.2404835924
"6",14830.2408938401
"7",13867.5403664151
"8",13081.7287303724
"9",12120.4006050258
"10",11774.3430109611
"11",12463.1681683264
"12",13026.0550859095
"13",11138.8743900084
"14",9295.02057277567
"15",9424.42969003127
"16",9456.25650155821
"17",9456.82802502401
"18",9041.26582227516
"19",9245.57563605709
"20",9136.06688777461
"21",9287.87734829207
"22",9541.61385769281
"23",9299.4407494713
"24",9209.14382033182
"25",9233.9260552942
"26",9213.91289569454
"27",9533.9945724888
"28",9496.36760181241
"29",9897.4608526341
"30",10346.246711211
"31",10883.1504171673
